Ticker,Exchange,Name,Notes
MMM,NASDAQ,3M,
AOS,NASDAQ,A. O. Smith,
ABT,NASDAQ,Abbott Laboratories,
ABBV,NASDAQ,AbbVie,
ACN,NASDAQ,Accenture,
ADBE,NASDAQ,Adobe Inc.,
AMD,NASDAQ,Advanced Micro Devices,
AES,NASDAQ,AES Corporation,
AFL,NASDAQ,Aflac,
A,NASDAQ,Agilent Technologies,
APD,NASDAQ,Air Products,
ABNB,NASDAQ,Airbnb,
AKAM,NASDAQ,Akamai Technologies,
ALB,NASDAQ,Albemarle Corporation,
ARE,NASDAQ,Alexandria Real Estate Equities,
ALGN,NASDAQ,Align Technology,
ALLE,NASDAQ,Allegion,
LNT,NASDAQ,Alliant Energy,
ALL,NASDAQ,Allstate,
GOOGL,NASDAQ,Alphabet Inc. (Class A),
GOOG,NASDAQ,Alphabet Inc. (Class C),
MO,NASDAQ,Altria,
AMZN,NASDAQ,Amazon,
AMCR,NASDAQ,Amcor,
AEE,NASDAQ,Ameren,
AEP,NASDAQ,American Electric Power,
AXP,NASDAQ,American Express,
AIG,NASDAQ,American International Group,
AMT,NASDAQ,American Tower,
AWK,NASDAQ,American Water Works,
AMP,NASDAQ,Ameriprise Financial,
AME,NASDAQ,Ametek,
AMGN,NASDAQ,Amgen,
APH,NASDAQ,Amphenol,
ADI,NASDAQ,Analog Devices,
AON,NASDAQ,Aon plc,
APA,NASDAQ,APA Corporation,
APO,NASDAQ,Apollo Global Management,
AAPL,NASDAQ,Apple Inc.,
AMAT,NASDAQ,Applied Materials,
APP,NASDAQ,AppLovin,
APTV,NASDAQ,Aptiv,
ACGL,NASDAQ,Arch Capital Group,
ADM,NASDAQ,Archer Daniels Midland,
ARES,NASDAQ,Ares Management,
ANET,NASDAQ,Arista Networks,
AJG,NASDAQ,Arthur J. Gallagher & Co.,
AIZ,NASDAQ,Assurant,
T,NASDAQ,AT&T,
ATO,NASDAQ,Atmos Energy,
ADSK,NASDAQ,Autodesk,
ADP,NASDAQ,Automatic Data Processing,
AZO,NASDAQ,AutoZone,
AVB,NASDAQ,AvalonBay Communities,
AVY,NASDAQ,Avery Dennison,
AXON,NASDAQ,Axon Enterprise,
BKR,NASDAQ,Baker Hughes,
BALL,NASDAQ,Ball Corporation,
BAC,NASDAQ,Bank of America,
BAX,NASDAQ,Baxter International,
BDX,NASDAQ,Becton Dickinson,
BRK-B,NASDAQ,Berkshire Hathaway,
BBY,NASDAQ,Best Buy,
TECH,NASDAQ,Bio-Techne,
BIIB,NASDAQ,Biogen,
BLK,NASDAQ,BlackRock,
BX,NASDAQ,Blackstone Inc.,
XYZ,NASDAQ,"Block, Inc.",
BK,NASDAQ,BNY Mellon,
BA,NASDAQ,Boeing,
BKNG,NASDAQ,Booking Holdings,
BSX,NASDAQ,Boston Scientific,
BMY,NASDAQ,Bristol Myers Squibb,
AVGO,NASDAQ,Broadcom,
BR,NASDAQ,Broadridge Financial Solutions,
BRO,NASDAQ,Brown & Brown,
BF-B,NASDAQ,Brown–Forman,
BLDR,NASDAQ,Builders FirstSource,
BG,NASDAQ,Bunge Global,
BXP,NASDAQ,"BXP, Inc.",
CHRW,NASDAQ,C.H. Robinson,
CDNS,NASDAQ,Cadence Design Systems,
CPT,NASDAQ,Camden Property Trust,
CPB,NASDAQ,Campbell's Company (The),
COF,NASDAQ,Capital One,
CAH,NASDAQ,Cardinal Health,
CCL,NASDAQ,Carnival,
CARR,NASDAQ,Carrier Global,
CVNA,NASDAQ,Carvana,
CAT,NASDAQ,Caterpillar Inc.,
CBOE,NASDAQ,Cboe Global Markets,
CBRE,NASDAQ,CBRE Group,
CDW,NASDAQ,CDW Corporation,
COR,NASDAQ,Cencora,
CNC,NASDAQ,Centene Corporation,
CNP,NASDAQ,CenterPoint Energy,
CF,NASDAQ,CF Industries,
CRL,NASDAQ,Charles River Laboratories,
SCHW,NASDAQ,Charles Schwab Corporation,
CHTR,NASDAQ,Charter Communications,
CVX,NASDAQ,Chevron Corporation,
CMG,NASDAQ,Chipotle Mexican Grill,
CB,NASDAQ,Chubb Limited,
CHD,NASDAQ,Church & Dwight,
CI,NASDAQ,Cigna,
CINF,NASDAQ,Cincinnati Financial,
CTAS,NASDAQ,Cintas,
CSCO,NASDAQ,Cisco,
C,NASDAQ,Citigroup,
CFG,NASDAQ,Citizens Financial Group,
CLX,NASDAQ,Clorox,
CME,NASDAQ,CME Group,
CMS,NASDAQ,CMS Energy,
KO,NASDAQ,Coca-Cola Company (The),
CTSH,NASDAQ,Cognizant,
COIN,NASDAQ,Coinbase,
CL,NASDAQ,Colgate-Palmolive,
CMCSA,NASDAQ,Comcast,
FIX,NASDAQ,Comfort Systems USA,
CAG,NASDAQ,Conagra Brands,
COP,NASDAQ,ConocoPhillips,
ED,NASDAQ,Consolidated Edison,
STZ,NASDAQ,Constellation Brands,
CEG,NASDAQ,Constellation Energy,
COO,NASDAQ,Cooper Companies (The),
CPRT,NASDAQ,Copart,
GLW,NASDAQ,Corning Inc.,
CPAY,NASDAQ,Corpay,
CTVA,NASDAQ,Corteva,
CSGP,NASDAQ,CoStar Group,
COST,NASDAQ,Costco,
CTRA,NASDAQ,Coterra,
CRH,NASDAQ,CRH plc,
CRWD,NASDAQ,CrowdStrike,
CCI,NASDAQ,Crown Castle,
CSX,NASDAQ,CSX Corporation,
CMI,NASDAQ,Cummins,
CVS,NASDAQ,CVS Health,
DHR,NASDAQ,Danaher Corporation,
DRI,NASDAQ,Darden Restaurants,
DDOG,NASDAQ,Datadog,
DVA,NASDAQ,DaVita,
DAY,NASDAQ,Dayforce,
DECK,NASDAQ,Deckers Brands,
DE,NASDAQ,Deere & Company,
DELL,NASDAQ,Dell Technologies,
DAL,NASDAQ,Delta Air Lines,
DVN,NASDAQ,Devon Energy,
DXCM,NASDAQ,Dexcom,
FANG,NASDAQ,Diamondback Energy,
DLR,NASDAQ,Digital Realty,
DG,NASDAQ,Dollar General,
DLTR,NASDAQ,Dollar Tree,
D,NASDAQ,Dominion Energy,
DPZ,NASDAQ,Domino's,
DASH,NASDAQ,DoorDash,
DOV,NASDAQ,Dover Corporation,
DOW,NASDAQ,Dow Inc.,
DHI,NASDAQ,D. R. Horton,
DTE,NASDAQ,DTE Energy,
DUK,NASDAQ,Duke Energy,
DD,NASDAQ,DuPont,
ETN,NASDAQ,Eaton Corporation,
EBAY,NASDAQ,eBay Inc.,
ECL,NASDAQ,Ecolab,
EIX,NASDAQ,Edison International,
EW,NASDAQ,Edwards Lifesciences,
EA,NASDAQ,Electronic Arts,
ELV,NASDAQ,Elevance Health,
EME,NASDAQ,Emcor,
EMR,NASDAQ,Emerson Electric,
ETR,NASDAQ,Entergy,
EOG,NASDAQ,EOG Resources,
EPAM,NASDAQ,EPAM Systems,
EQT,NASDAQ,EQT Corporation,
EFX,NASDAQ,Equifax,
EQIX,NASDAQ,Equinix,
EQR,NASDAQ,Equity Residential,
ERIE,NASDAQ,Erie Indemnity,
ESS,NASDAQ,Essex Property Trust,
EL,NASDAQ,Estée Lauder Companies (The),
EG,NASDAQ,Everest Group,
EVRG,NASDAQ,Evergy,
ES,NASDAQ,Eversource Energy,
EXC,NASDAQ,Exelon,
EXE,NASDAQ,Expand Energy,
EXPE,NASDAQ,Expedia Group,
EXPD,NASDAQ,Expeditors International,
EXR,NASDAQ,Extra Space Storage,
XOM,NASDAQ,ExxonMobil,
FFIV,NASDAQ,"F5, Inc.",
FDS,NASDAQ,FactSet,
FICO,NASDAQ,Fair Isaac,
FAST,NASDAQ,Fastenal,
FRT,NASDAQ,Federal Realty Investment Trust,
FDX,NASDAQ,FedEx,
FIS,NASDAQ,Fidelity National Information Services,
FITB,NASDAQ,Fifth Third Bancorp,
FSLR,NASDAQ,First Solar,
FE,NASDAQ,FirstEnergy,
FISV,NASDAQ,Fiserv,
F,NASDAQ,Ford Motor Company,
FTNT,NASDAQ,Fortinet,
FTV,NASDAQ,Fortive,
FOXA,NASDAQ,Fox Corporation (Class A),
FOX,NASDAQ,Fox Corporation (Class B),
BEN,NASDAQ,Franklin Resources,
FCX,NASDAQ,Freeport-McMoRan,
GRMN,NASDAQ,Garmin,
IT,NASDAQ,Gartner,
GE,NASDAQ,GE Aerospace,
GEHC,NASDAQ,GE HealthCare,
GEV,NASDAQ,GE Vernova,
GEN,NASDAQ,Gen Digital,
GNRC,NASDAQ,Generac,
GD,NASDAQ,General Dynamics,
GIS,NASDAQ,General Mills,
GM,NASDAQ,General Motors,
GPC,NASDAQ,Genuine Parts Company,
GILD,NASDAQ,Gilead Sciences,
GPN,NASDAQ,Global Payments,
GL,NASDAQ,Globe Life,
GDDY,NASDAQ,GoDaddy,
GS,NASDAQ,Goldman Sachs,
HAL,NASDAQ,Halliburton,
HIG,NASDAQ,Hartford (The),
HAS,NASDAQ,Hasbro,
HCA,NASDAQ,HCA Healthcare,
DOC,NASDAQ,Healthpeak Properties,
HSIC,NASDAQ,Henry Schein,
HSY,NASDAQ,Hershey Company (The),
HPE,NASDAQ,Hewlett Packard Enterprise,
HLT,NASDAQ,Hilton Worldwide,
HOLX,NASDAQ,Hologic,
HD,NASDAQ,Home Depot (The),
HON,NASDAQ,Honeywell,
HRL,NASDAQ,Hormel Foods,
HST,NASDAQ,Host Hotels & Resorts,
HWM,NASDAQ,Howmet Aerospace,
HPQ,NASDAQ,HP Inc.,
HUBB,NASDAQ,Hubbell Incorporated,
HUM,NASDAQ,Humana,
HBAN,NASDAQ,Huntington Bancshares,
HII,NASDAQ,Huntington Ingalls Industries,
IBM,NASDAQ,IBM,
IEX,NASDAQ,IDEX Corporation,
IDXX,NASDAQ,Idexx Laboratories,
ITW,NASDAQ,Illinois Tool Works,
INCY,NASDAQ,Incyte,
IR,NASDAQ,Ingersoll Rand,
PODD,NASDAQ,Insulet Corporation,
INTC,NASDAQ,Intel,
IBKR,NASDAQ,Interactive Brokers,
ICE,NASDAQ,Intercontinental Exchange,
IFF,NASDAQ,International Flavors & Fragrances,
IP,NASDAQ,International Paper,
INTU,NASDAQ,Intuit,
ISRG,NASDAQ,Intuitive Surgical,
IVZ,NASDAQ,Invesco,
INVH,NASDAQ,Invitation Homes,
IQV,NASDAQ,IQVIA,
IRM,NASDAQ,Iron Mountain,
JBHT,NASDAQ,J.B. Hunt,
JBL,NASDAQ,Jabil,
JKHY,NASDAQ,Jack Henry & Associates,
J,NASDAQ,Jacobs Solutions,
JNJ,NASDAQ,Johnson & Johnson,
JCI,NASDAQ,Johnson Controls,
JPM,NASDAQ,JPMorgan Chase,
KVUE,NASDAQ,Kenvue,
KDP,NASDAQ,Keurig Dr Pepper,
KEY,NASDAQ,KeyCorp,
KEYS,NASDAQ,Keysight Technologies,
KMB,NASDAQ,Kimberly-Clark,
KIM,NASDAQ,Kimco Realty,
KMI,NASDAQ,Kinder Morgan,
KKR,NASDAQ,KKR & Co.,
KLAC,NASDAQ,KLA Corporation,
KHC,NASDAQ,Kraft Heinz,
KR,NASDAQ,Kroger,
LHX,NASDAQ,L3Harris,
LH,NASDAQ,Labcorp,
LRCX,NASDAQ,Lam Research,
LW,NASDAQ,Lamb Weston,
LVS,NASDAQ,Las Vegas Sands,
LDOS,NASDAQ,Leidos,
LEN,NASDAQ,Lennar,
LII,NASDAQ,Lennox International,
LLY,NASDAQ,Lilly (Eli),
LIN,NASDAQ,Linde plc,
LYV,NASDAQ,Live Nation Entertainment,
LMT,NASDAQ,Lockheed Martin,
L,NASDAQ,Loews Corporation,
LOW,NASDAQ,Lowe's,
LULU,NASDAQ,Lululemon Athletica,
LYB,NASDAQ,LyondellBasell,
MTB,NASDAQ,M&T Bank,
MPC,NASDAQ,Marathon Petroleum,
MAR,NASDAQ,Marriott International,
MRSH,NASDAQ,Marsh McLennan,
MLM,NASDAQ,Martin Marietta Materials,
MAS,NASDAQ,Masco,
MA,NASDAQ,Mastercard,
MTCH,NASDAQ,Match Group,
MKC,NASDAQ,McCormick & Company,
MCD,NASDAQ,McDonald's,
MCK,NASDAQ,McKesson Corporation,
MDT,NASDAQ,Medtronic,
MRK,NASDAQ,Merck & Co.,
META,NASDAQ,Meta Platforms,
MET,NASDAQ,MetLife,
MTD,NASDAQ,Mettler Toledo,
MGM,NASDAQ,MGM Resorts,
MCHP,NASDAQ,Microchip Technology,
MU,NASDAQ,Micron Technology,
MSFT,NASDAQ,Microsoft,
MAA,NASDAQ,Mid-America Apartment Communities,
MRNA,NASDAQ,Moderna,
MOH,NASDAQ,Molina Healthcare,
TAP,NASDAQ,Molson Coors Beverage Company,
MDLZ,NASDAQ,Mondelez International,
MPWR,NASDAQ,Monolithic Power Systems,
MNST,NASDAQ,Monster Beverage,
MCO,NASDAQ,Moody's Corporation,
MS,NASDAQ,Morgan Stanley,
MOS,NASDAQ,Mosaic Company (The),
MSI,NASDAQ,Motorola Solutions,
MSCI,NASDAQ,MSCI Inc.,
NDAQ,NASDAQ,"Nasdaq, Inc.",
NTAP,NASDAQ,NetApp,
NFLX,NASDAQ,Netflix,
NEM,NASDAQ,Newmont,
NWSA,NASDAQ,News Corp (Class A),
NWS,NASDAQ,News Corp (Class B),
NEE,NASDAQ,NextEra Energy,
NKE,NASDAQ,"Nike, Inc.",
NI,NASDAQ,NiSource,
NDSN,NASDAQ,Nordson Corporation,
NSC,NASDAQ,Norfolk Southern,
NTRS,NASDAQ,Northern Trust,
NOC,NASDAQ,Northrop Grumman,
NCLH,NASDAQ,Norwegian Cruise Line Holdings,
NRG,NASDAQ,NRG Energy,
NUE,NASDAQ,Nucor,
NVDA,NASDAQ,Nvidia,
NVR,NASDAQ,"NVR, Inc.",
NXPI,NASDAQ,NXP Semiconductors,
ORLY,NASDAQ,O’Reilly Automotive,
OXY,NASDAQ,Occidental Petroleum,
ODFL,NASDAQ,Old Dominion,
OMC,NASDAQ,Omnicom Group,
ON,NASDAQ,ON Semiconductor,
OKE,NASDAQ,Oneok,
ORCL,NASDAQ,Oracle Corporation,
OTIS,NASDAQ,Otis Worldwide,
PCAR,NASDAQ,Paccar,
PKG,NASDAQ,Packaging Corporation of America,
PLTR,NASDAQ,Palantir Technologies,
PANW,NASDAQ,Palo Alto Networks,
PSKY,NASDAQ,Paramount Skydance Corporation,
PH,NASDAQ,Parker Hannifin,
PAYX,NASDAQ,Paychex,
PAYC,NASDAQ,Paycom,
PYPL,NASDAQ,PayPal,
PNR,NASDAQ,Pentair,
PEP,NASDAQ,PepsiCo,
PFE,NASDAQ,Pfizer,
PCG,NASDAQ,PG&E Corporation,
PM,NASDAQ,Philip Morris International,
PSX,NASDAQ,Phillips 66,
PNW,NASDAQ,Pinnacle West Capital,
PNC,NASDAQ,PNC Financial Services,
POOL,NASDAQ,Pool Corporation,
PPG,NASDAQ,PPG Industries,
PPL,NASDAQ,PPL Corporation,
PFG,NASDAQ,Principal Financial Group,
PG,NASDAQ,Procter & Gamble,
PGR,NASDAQ,Progressive Corporation,
PLD,NASDAQ,Prologis,
PRU,NASDAQ,Prudential Financial,
PEG,NASDAQ,Public Service Enterprise Group,
PTC,NASDAQ,PTC Inc.,
PSA,NASDAQ,Public Storage,
PHM,NASDAQ,PulteGroup,
PWR,NASDAQ,Quanta Services,
QCOM,NASDAQ,Qualcomm,
DGX,NASDAQ,Quest Diagnostics,
Q,NASDAQ,Qnity Electronics,
RL,NASDAQ,Ralph Lauren Corporation,
RJF,NASDAQ,Raymond James Financial,
RTX,NASDAQ,RTX Corporation,
O,NASDAQ,Realty Income,
REG,NASDAQ,Regency Centers,
REGN,NASDAQ,Regeneron Pharmaceuticals,
RF,NASDAQ,Regions Financial Corporation,
RSG,NASDAQ,Republic Services,
RMD,NASDAQ,ResMed,
RVTY,NASDAQ,Revvity,
HOOD,NASDAQ,Robinhood Markets,
ROK,NASDAQ,Rockwell Automation,
ROL,NASDAQ,"Rollins, Inc.",
ROP,NASDAQ,Roper Technologies,
ROST,NASDAQ,Ross Stores,
RCL,NASDAQ,Royal Caribbean Group,
SPGI,NASDAQ,S&P Global,
CRM,NASDAQ,Salesforce,
SNDK,NASDAQ,Sandisk,
SBAC,NASDAQ,SBA Communications,
SLB,NASDAQ,Schlumberger,
STX,NASDAQ,Seagate Technology,
SRE,NASDAQ,Sempra,
NOW,NASDAQ,ServiceNow,
SHW,NASDAQ,Sherwin-Williams,
SPG,NASDAQ,Simon Property Group,
SWKS,NASDAQ,Skyworks Solutions,
SJM,NASDAQ,J.M. Smucker Company (The),
SW,NASDAQ,Smurfit Westrock,
SNA,NASDAQ,Snap-on,
SOLV,NASDAQ,Solventum,
SO,NASDAQ,Southern Company,
LUV,NASDAQ,Southwest Airlines,
SWK,NASDAQ,Stanley Black & Decker,
SBUX,NASDAQ,Starbucks,
STT,NASDAQ,State Street Corporation,
STLD,NASDAQ,Steel Dynamics,
STE,NASDAQ,Steris,
SYK,NASDAQ,Stryker Corporation,
SMCI,NASDAQ,Supermicro,
SYF,NASDAQ,Synchrony Financial,
SNPS,NASDAQ,Synopsys,
SYY,NASDAQ,Sysco,
TMUS,NASDAQ,T-Mobile US,
TROW,NASDAQ,T. Rowe Price,
TTWO,NASDAQ,Take-Two Interactive,
TPR,NASDAQ,"Tapestry, Inc.",
TRGP,NASDAQ,Targa Resources,
TGT,NASDAQ,Target Corporation,
TEL,NASDAQ,TE Connectivity,
TDY,NASDAQ,Teledyne Technologies,
TER,NASDAQ,Teradyne,
TSLA,NASDAQ,"Tesla, Inc.",
TXN,NASDAQ,Texas Instruments,
TPL,NASDAQ,Texas Pacific Land Corporation,
TXT,NASDAQ,Textron,
TMO,NASDAQ,Thermo Fisher Scientific,
TJX,NASDAQ,TJX Companies,
TKO,NASDAQ,TKO Group Holdings,
TTD,NASDAQ,Trade Desk (The),
TSCO,NASDAQ,Tractor Supply,
TT,NASDAQ,Trane Technologies,
TDG,NASDAQ,TransDigm Group,
TRV,NASDAQ,Travelers Companies (The),
TRMB,NASDAQ,Trimble Inc.,
TFC,NASDAQ,Truist Financial,
TYL,NASDAQ,Tyler Technologies,
TSN,NASDAQ,Tyson Foods,
USB,NASDAQ,U.S. Bancorp,
UBER,NASDAQ,Uber,
UDR,NASDAQ,"UDR, Inc.",
ULTA,NASDAQ,Ulta Beauty,
UNP,NASDAQ,Union Pacific Corporation,
UAL,NASDAQ,United Airlines Holdings,
UPS,NASDAQ,United Parcel Service,
URI,NASDAQ,United Rentals,
UNH,NASDAQ,UnitedHealth Group,
UHS,NASDAQ,Universal Health Services,
VLO,NASDAQ,Valero Energy,
VTR,NASDAQ,Ventas,
VLTO,NASDAQ,Veralto,
VRSN,NASDAQ,Verisign,
VRSK,NASDAQ,Verisk Analytics,
VZ,NASDAQ,Verizon,
VRTX,NASDAQ,Vertex Pharmaceuticals,
VTRS,NASDAQ,Viatris,
VICI,NASDAQ,Vici Properties,
V,NASDAQ,Visa Inc.,
VST,NASDAQ,Vistra Corp.,
VMC,NASDAQ,Vulcan Materials Company,
WRB,NASDAQ,W. R. Berkley Corporation,
GWW,NASDAQ,W. W. Grainger,
WAB,NASDAQ,Wabtec,
WMT,NASDAQ,Walmart,
DIS,NASDAQ,Walt Disney Company (The),
WBD,NASDAQ,Warner Bros. Discovery,
WM,NASDAQ,Waste Management,
WAT,NASDAQ,Waters Corporation,
WEC,NASDAQ,WEC Energy Group,
WFC,NASDAQ,Wells Fargo,
