Ticker,Entry Date,Exit Date,Holding Days,Entry,Exit,PnL (£),PnL %,Market,Exit Reason,Was Profitable,Entry Year
A,2018-11-30,2018-12-04,4,68.70627572250366,69.03065972518921,47.21315473359316,0.62,US,Risk-Off,True,2018
ABT,2018-11-30,2018-12-04,4,65.28592308044433,62.84889481925965,-373.2854107281008,-3.59,US,Risk-Off,False,2018
DXCM,2019-02-28,2019-03-18,18,34.884749208450316,36.48269222640992,238.49113104098507,4.74,US,Stop,True,2019
TKO,2019-02-28,2019-03-19,19,76.84719959259034,81.94697087478639,345.51682716474716,6.8,US,Stop,True,2019
TTD,2019-02-28,2019-03-22,22,19.783630709648133,20.260563865661624,103.19988744223582,2.56,US,Stop,True,2019
CVNA,2019-02-28,2019-04-04,35,44.92729061126709,59.85008862876892,1654.1569749579012,33.42,US,Stop,True,2019
TTD,2019-04-30,2019-05-10,10,22.181222718238832,18.32347333240509,-520.6654356672524,-17.27,US,Stop,False,2019
AMD,2019-04-30,2019-05-13,13,27.671444159507754,26.20063977146149,-266.69136241543737,-5.17,US,Stop,False,2019
CVNA,2019-04-30,2019-05-13,13,71.66733755493165,62.1466416759491,-519.7639590232168,-13.15,US,Stop,False,2019
PAYC,2019-04-30,2019-05-13,13,198.80638414764405,193.0434806137085,-146.26459567478457,-2.75,US,Stop,False,2019
TKO,2019-04-30,2019-05-20,20,77.09056030273437,72.0106724319458,-332.49193506250936,-6.45,US,Stop,False,2019
PAYC,2019-07-31,2019-08-14,14,236.3237269973755,227.34599922180178,-172.63983027601085,-3.65,US,Stop,False,2019
TTD,2019-07-31,2019-08-15,15,26.370495873451233,24.31547128391266,-219.70294757981418,-7.65,US,Stop,False,2019
ERIE,2019-07-31,2019-08-23,23,195.93226741790772,188.39159441375733,-174.8984815532472,-3.7,US,Stop,False,2019
MTCH,2019-07-31,2019-09-02,33,73.23940953826904,82.24329391098023,464.3079438132089,12.46,US,Risk-Off,True,2019
SBUX,2019-07-31,2019-09-02,33,82.29614140319825,83.98711132812501,93.3766535259388,2.21,US,Risk-Off,True,2019
JD.L,2019-09-30,2019-10-02,2,150.9837833404541,146.1938934326172,-146.87657779159852,-3.17,UK,Risk-Off,False,2019
PODD,2019-09-30,2019-10-10,10,165.17738766479494,154.66764390563966,-191.2052392188683,-6.22,US,Stop,False,2019
TER,2019-09-30,2019-10-18,18,56.464135541915894,57.286545463562014,48.43678140277652,1.61,US,Stop,True,2019
CMG,2019-09-30,2019-10-22,22,16.834614659309388,16.59646873188019,-65.49336370042953,-1.27,US,Stop,False,2019
LRCX,2019-10-31,2019-11-19,19,25.17719554233551,25.631521739006043,91.63910709296381,1.96,US,Stop,True,2019
KLAC,2019-09-30,2019-11-20,51,147.9109108963013,161.39609197998047,422.0985770694615,9.28,US,Stop,True,2019
CVNA,2019-10-31,2019-11-28,28,81.20162183380127,94.8375333518982,852.78566940317,16.97,US,Risk-Off,True,2019
MTCH,2019-10-31,2019-11-28,28,71.00205737686157,68.03499360275269,-212.21514304629616,-4.03,US,Risk-Off,False,2019
CVNA,2019-12-31,2020-01-14,14,92.18807805633546,85.89096664810181,-212.32027901328556,-6.69,US,Stop,False,2019
